entry,Base_SMILES,Ligand_SMILES,Solvent_SMILES,Concentration,Temp_C,yield
1761,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.057,90,14.18
1762,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.057,90,10.78
1763,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.057,90,13.68
1764,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.057,90,3.59
1765,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.057,90,2.09
1766,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.057,90,2.39
1767,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.057,90,2.19
1768,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.057,90,2.14
1769,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.057,90,1.67
1770,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.057,90,2.17
1771,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.057,90,0.94
1772,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.057,90,1.73
1773,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.057,90,1.32
1774,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.057,90,2.8
1775,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.057,90,1.41
1776,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.057,105,20.37
1777,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.057,105,26.06
1778,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.057,105,25.56
1779,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.057,105,22.06
1780,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.057,105,4.19
1781,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.057,105,2.19
1782,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.057,105,3.49
1783,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.057,105,2.79
1784,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.057,105,1.89
1785,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.057,105,1.79
1786,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.057,105,2.09
1787,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.057,105,0.0
1788,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.057,105,1.49
1789,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.057,105,0.0
1790,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.057,105,2.39
1791,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.057,105,1.49
1792,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.057,120,29.4
1793,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.057,120,54.52
1794,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.057,120,52.72
1795,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.057,120,33.95
1796,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.057,120,8.68
1797,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.057,120,4.88
1798,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.057,120,5.68
1799,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.057,120,4.05
1800,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.057,120,2.4
1801,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.057,120,2.03
1802,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.057,120,2.46
1803,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.057,120,1.64
1804,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.057,120,1.71
1805,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.057,120,1.26
1806,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.057,120,2.68
1807,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.057,120,1.31
1808,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.153,90,3.87
1809,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.153,90,15.7
1810,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.153,90,8.79
1811,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.153,90,13.03
1812,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.153,90,1.21
1813,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.153,90,2.06
1814,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.153,90,2.12
1815,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.153,90,2.98
1816,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.153,90,0.0
1817,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.153,90,0.69
1818,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.153,90,0.0
1819,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.153,90,0.36
1820,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.153,90,0.3
1821,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.153,90,0.52
1822,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.153,90,0.0
1823,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.153,90,0.54
1824,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.153,105,23.38
1825,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.153,105,28.43
1826,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.153,105,28.18
1827,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.153,105,24.7
1828,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.153,105,3.2
1829,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.153,105,6.51
1830,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.153,105,4.73
1831,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.153,105,4.26
1832,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.153,105,0.46
1833,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.153,105,1.36
1834,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.153,105,3.62
1835,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.153,105,0.99
1836,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.153,105,1.55
1837,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.153,105,1.63
1838,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.153,105,6.03
1839,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.153,105,2.0
1840,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.153,120,42.35
1841,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.153,120,62.44
1842,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.153,120,66.08
1843,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC(N(C)C)=O,0.153,120,40.74
1844,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.153,120,9.44
1845,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.153,120,8.86
1846,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.153,120,15.23
1847,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCC#N,0.153,120,5.06
1848,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.153,120,1.91
1849,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.153,120,3.2
1850,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.153,120,2.53
1851,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CCCCOC(C)=O,0.153,120,2.64
1852,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.153,120,6.65
1853,O=C([O-])C(C)(C)C.[K+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.153,120,4.39
1854,O=C([O-])C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.153,120,6.48
1855,O=C([O-])C(C)(C)C.[Cs+],P(C1=CC=CC=C1)(C2CCCCC2)C3=CC=CC=C3,CC1=CC=C(C)C=C1,0.153,120,1.81
1856,O=C([O-])C.[K+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CC(N(C)C)=O,0.1,105,5.18
1857,O=C([O-])C(C)(C)C.[K+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CC(N(C)C)=O,0.1,105,4.86
1858,O=C([O-])C.[Cs+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CC(N(C)C)=O,0.1,105,8.71
1859,O=C([O-])C(C)(C)C.[Cs+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CC(N(C)C)=O,0.1,105,2.71
1860,O=C([O-])C.[K+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CCCC#N,0.1,105,1.66
1861,O=C([O-])C(C)(C)C.[K+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CCCC#N,0.1,105,0.93
1862,O=C([O-])C.[Cs+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CCCC#N,0.1,105,1.38
1863,O=C([O-])C(C)(C)C.[Cs+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CCCC#N,0.1,105,0.95
1864,O=C([O-])C.[K+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CCCCOC(C)=O,0.1,105,1.68
1865,O=C([O-])C(C)(C)C.[K+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CCCCOC(C)=O,0.1,105,0.0
1866,O=C([O-])C.[Cs+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CCCCOC(C)=O,0.1,105,0.0
1867,O=C([O-])C(C)(C)C.[Cs+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CCCCOC(C)=O,0.1,105,0.0
1868,O=C([O-])C.[K+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CC1=CC=C(C)C=C1,0.1,105,1.45
1869,O=C([O-])C(C)(C)C.[K+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CC1=CC=C(C)C=C1,0.1,105,0.47
1870,O=C([O-])C.[Cs+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CC1=CC=C(C)C=C1,0.1,105,1.07
1871,O=C([O-])C(C)(C)C.[Cs+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CC1=CC=C(C)C=C1,0.1,105,0.49
1872,O=C([O-])C.[K+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CC(N(C)C)=O,0.1,120,9.48
1873,O=C([O-])C(C)(C)C.[K+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CC(N(C)C)=O,0.1,120,21.56
1874,O=C([O-])C.[Cs+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CC(N(C)C)=O,0.1,120,12.28
1875,O=C([O-])C(C)(C)C.[Cs+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CC(N(C)C)=O,0.1,120,4.59
1876,O=C([O-])C.[K+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CCCC#N,0.1,120,1.79
1877,O=C([O-])C(C)(C)C.[K+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CCCC#N,0.1,120,3.49
1878,O=C([O-])C.[Cs+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CCCC#N,0.1,120,2.49
1879,O=C([O-])C(C)(C)C.[Cs+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CCCC#N,0.1,120,1.2
1880,O=C([O-])C.[K+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CCCCOC(C)=O,0.1,120,2.29
1881,O=C([O-])C(C)(C)C.[K+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CCCCOC(C)=O,0.1,120,0.8
1882,O=C([O-])C.[Cs+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CCCCOC(C)=O,0.1,120,0.2
1883,O=C([O-])C(C)(C)C.[Cs+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CCCCOC(C)=O,0.1,120,0.0
1884,O=C([O-])C.[K+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CC1=CC=C(C)C=C1,0.1,120,5.09
1885,O=C([O-])C(C)(C)C.[K+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CC1=CC=C(C)C=C1,0.1,120,0.5
1886,O=C([O-])C.[Cs+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CC1=CC=C(C)C=C1,0.1,120,1.2
1887,O=C([O-])C(C)(C)C.[Cs+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CC1=CC=C(C)C=C1,0.1,120,1.0
1888,O=C([O-])C.[K+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CC(N(C)C)=O,0.057,90,4.29
1889,O=C([O-])C(C)(C)C.[K+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CC(N(C)C)=O,0.057,90,0.8
1890,O=C([O-])C.[Cs+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CC(N(C)C)=O,0.057,90,1.99
1891,O=C([O-])C(C)(C)C.[Cs+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CC(N(C)C)=O,0.057,90,2.9
1892,O=C([O-])C.[K+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CCCC#N,0.057,90,1.66
1893,O=C([O-])C(C)(C)C.[K+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CCCC#N,0.057,90,0.8
1894,O=C([O-])C.[Cs+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CCCC#N,0.057,90,0.76
1895,O=C([O-])C(C)(C)C.[Cs+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CCCC#N,0.057,90,1.08
1896,O=C([O-])C.[K+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CCCCOC(C)=O,0.057,90,0.2
1897,O=C([O-])C(C)(C)C.[K+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CCCCOC(C)=O,0.057,90,0.2
1898,O=C([O-])C.[Cs+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CCCCOC(C)=O,0.057,90,0.2
1899,O=C([O-])C(C)(C)C.[Cs+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CCCCOC(C)=O,0.057,90,0.0
1900,O=C([O-])C.[K+],C1(P(C2CCCCC2)C3CCCCC3)=CC=CC=C1C4=CC=CC=C4,CC1=CC=C(C)C=C1,0.057,90,0.64
