entry,additive,aryl_halide,base,ligand,yield
68,2,4,2,1,0.456472494
69,2,5,2,1,3.867385769
70,2,6,2,1,7.024622197
71,2,7,2,1,2.84616447
72,2,8,2,1,18.8690087
73,2,9,2,1,25.0736586
74,2,10,2,1,21.66658644
75,2,11,2,1,48.48749388
76,2,12,2,1,58.61075678
77,2,13,2,1,4.169292721
78,2,14,2,1,11.38334579
79,2,15,2,1,24.41818234
80,2,0,2,1,0
81,2,1,3,1,14.96739578
82,2,2,3,1,30.28625472
83,2,3,3,1,39.57783871
84,2,4,3,1,0.339837285
85,2,5,3,1,3.12306153
86,2,6,3,1,5.140109821
87,2,7,3,1,3.920306162
88,2,8,3,1,15.39753007
89,2,9,3,1,22.45064906
90,2,10,3,1,23.68617418
91,2,11,3,1,42.69485888
92,2,12,3,1,54.83360857
93,2,13,3,1,6.351542297
94,2,14,3,1,14.16472216
95,2,15,3,1,17.378304
96,2,0,3,1,0
97,4,1,1,1,3.606676847
98,4,2,1,1,35.07866175
99,4,3,1,1,43.31814591
100,4,4,1,1,0
101,4,5,1,1,29.29817829
102,4,6,1,1,37.56535564
103,4,7,1,1,0.960810012
104,4,8,1,1,59.0196812
105,4,9,1,1,70.96873006
106,4,10,1,1,35.13952712
107,4,11,1,1,37.65445791
108,4,12,1,1,51.10248957
109,4,13,1,1,3.963450153
110,4,14,1,1,31.93031022
111,4,15,1,1,48.70823186
112,4,0,1,1,0
113,4,1,2,1,5.008760546
114,4,2,2,1,35.08872433
115,4,3,2,1,41.2456065
116,4,4,2,1,0
117,4,5,2,1,13.9769471
118,4,6,2,1,18.89524916
119,4,7,2,1,0.705195152
120,4,8,2,1,32.63234102
121,4,9,2,1,31.81837229
122,4,10,2,1,30.4254394
123,4,11,2,1,53.63578043
124,4,12,2,1,59.4767437
125,4,13,2,1,2.014671714
126,4,14,2,1,26.51352578
127,4,15,2,1,36.85037948
128,4,0,2,1,0
129,4,1,3,1,4.820162197
130,4,2,3,1,34.80628557
131,4,3,3,1,46.63249784
132,4,4,3,1,0
133,4,5,3,1,11.74218494
134,4,6,3,1,26.65189435
135,4,7,3,1,0.546829898
136,4,8,3,1,35.87055638
137,4,9,3,1,68.84449525
138,4,10,3,1,33.8754215
139,4,11,3,1,63.0697188
140,4,12,3,1,70.62989218
141,4,13,3,1,2.481415648
142,4,14,3,1,31.6780045
143,4,15,3,1,46.01420049
144,4,0,3,1,0
145,6,1,1,1,22.16644806
146,6,2,1,1,23.21156884
147,6,3,1,1,34.74876407
148,6,4,1,1,0.948128865
149,6,5,1,1,16.64966496
150,6,6,1,1,19.99982627
151,6,7,1,1,4.992379236
152,6,8,1,1,53.99699311
153,6,9,1,1,57.37548977
154,6,10,1,1,22.61165831
155,6,11,1,1,28.75149591
156,6,12,1,1,26.98890626
157,6,13,1,1,20.85782482
158,6,14,1,1,20.73475671
159,6,15,1,1,30.87112941
160,6,0,1,1,0
161,6,1,2,1,20.36096013
162,6,2,2,1,38.91690391
163,6,3,2,1,41.70005044
164,6,4,2,1,0.940121626
165,6,5,2,1,14.90450687
166,6,6,2,1,19.596159
167,6,7,2,1,4.179760101
168,6,8,2,1,39.00815943
169,6,9,2,1,37.1696242
170,6,10,2,1,31.61725517
171,6,11,2,1,51.21654271
172,6,12,2,1,57.55128922
173,6,13,2,1,16.17382734
174,6,14,2,1,26.58751317
175,6,15,2,1,40.41327646
176,6,0,2,1,0
177,6,1,3,1,16.96531636
178,6,2,3,1,34.37725511
179,6,3,3,1,43.5835106
180,6,4,3,1,0.828206999
181,6,5,3,1,13.33632103
182,6,6,3,1,26.96354436
183,6,7,3,1,4.206951598
184,6,8,3,1,39.80435813
185,6,9,3,1,66.76359549
186,6,10,3,1,38.14302674
187,6,11,3,1,56.51667394
188,6,12,3,1,67.97172842
189,6,13,3,1,13.29271578
190,6,14,3,1,32.5166032
191,6,15,3,1,47.33481015
192,6,0,3,1,0
193,0,1,1,2,43.24687429
194,0,2,1,2,47.07201706
195,0,3,1,2,46.67923287
196,0,4,1,2,1.477833017
197,0,5,1,2,52.01663098
198,0,6,1,2,49.5332891
199,0,7,1,2,15.23801636
200,0,8,1,2,76.0080606
201,0,9,1,2,63.58868193
202,0,10,1,2,56.11678026
203,0,11,1,2,74.02586359
204,0,12,1,2,72.10640605
205,0,13,1,2,60.16915393
206,0,14,1,2,76.23980932
207,0,15,1,2,73.24593194
208,0,0,1,2,0
209,0,1,2,2,33.75312128
210,0,2,2,2,43.98434681
211,0,3,2,2,45.01345928
212,0,4,2,2,1.141182686
213,0,5,2,2,45.26243148
214,0,6,2,2,48.87745577
215,0,7,2,2,5.1621109
216,0,8,2,2,70.20039276
217,0,9,2,2,76.21778678
218,0,10,2,2,68.57268466
219,0,11,2,2,82.68657767
220,0,12,2,2,81.20984491
221,0,13,2,2,45.5729521
222,0,14,2,2,80.41522119
223,0,15,2,2,87.27732283
224,0,0,2,2,0
225,0,1,3,2,46.27953078
226,0,2,3,2,50.46562134
227,0,3,3,2,51.209226
228,0,4,3,2,1.507859973
229,0,5,3,2,54.82010788
230,0,6,3,2,55.70113322
231,0,7,3,2,5.937925103
232,0,8,3,2,83.76110277
233,0,9,3,2,78.83510746
234,0,10,3,2,80.94739685
235,0,11,3,2,94.39775173
236,0,12,3,2,95.42335131
237,0,13,3,2,65.0220022
238,0,14,3,2,98.03589777
239,0,15,3,2,99.68653196
240,0,0,3,2,0
241,2,1,1,2,15.4176361
242,2,2,1,2,18.97417112
243,2,3,1,2,16.81589184
244,2,4,1,2,2.663355036
245,2,5,1,2,16.04854773
246,2,6,1,2,21.9766332
247,2,7,1,2,7.641917878
248,2,8,1,2,28.39231834
249,2,9,1,2,26.6748995
250,2,10,1,2,29.97543001
251,2,11,1,2,36.30636065
252,2,12,1,2,36.58798902
253,2,13,1,2,10.54082024
254,2,14,1,2,26.25688388
255,2,15,1,2,28.58964812
256,2,0,1,2,0
257,2,1,2,2,16.88486051
258,2,2,2,2,41.29698409
259,2,3,2,2,43.73298112
260,2,4,2,2,0.655700656
261,2,5,2,2,33.62905648
262,2,6,2,2,41.48980841
263,2,7,2,2,2.599454304
264,2,8,2,2,66.02401389
265,2,9,2,2,72.39052533
266,2,10,2,2,68.84655406
267,2,11,2,2,82.1847816
268,2,12,2,2,80.58917239
269,2,13,2,2,15.19452071
270,2,14,2,2,83.87445444
271,2,15,2,2,86.003404
272,2,0,2,2,0
273,2,1,3,2,30.01215681
274,2,2,3,2,51.39708789
275,2,3,3,2,50.13634297
276,2,4,3,2,2.942173839
277,2,5,3,2,34.96324083
278,2,6,3,2,51.01008234
279,2,7,3,2,15.31942872
280,2,8,3,2,81.56943098
281,2,9,3,2,77.57371189
282,2,10,3,2,86.68959994
283,2,11,3,2,92.91423383
284,2,12,3,2,97.56849953
285,2,13,3,2,35.55504656
286,2,14,3,2,98.73132029
287,2,15,3,2,98.28722602
288,2,0,3,2,0
289,4,1,1,2,5.980979595
290,4,2,1,2,50.58289676
291,4,3,1,2,45.08048043
292,4,4,1,2,0
293,4,5,1,2,42.11946098
294,4,6,1,2,49.11143206
295,4,7,1,2,0.705225291
296,4,8,1,2,70.86219062
297,4,9,1,2,66.44951759
298,4,10,1,2,65.93988128
299,4,11,1,2,66.07082051
300,4,12,1,2,66.20793624
301,4,13,1,2,6.110691586
302,4,14,1,2,67.81850094
303,4,15,1,2,72.63064909
304,4,0,1,2,0
305,4,1,2,2,7.837919121
306,4,2,2,2,46.74711139
307,4,3,2,2,46.25838016
308,4,4,2,2,0
309,4,5,2,2,37.03037628
310,4,6,2,2,43.69560153
311,4,7,2,2,0.595872872
312,4,8,2,2,70.54955286
313,4,9,2,2,80.90409924
314,4,10,2,2,70.2055639
315,4,11,2,2,83.08846167
316,4,12,2,2,85.14465222
317,4,13,2,2,3.149733367
318,4,14,2,2,78.08461533
319,4,15,2,2,82.13737482
320,4,0,2,2,0
321,4,1,3,2,7.782359234
322,4,2,3,2,53.59986981
323,4,3,3,2,51.75674767
324,4,4,3,2,0
325,4,5,3,2,49.61438009
326,4,6,3,2,53.675534
327,4,7,3,2,0.646778821
328,4,8,3,2,86.59757822
329,4,9,3,2,84.89551287
330,4,10,3,2,91.39064225
331,4,11,3,2,97.29293259
332,4,12,3,2,99.61910732
333,4,13,3,2,4.166287009
334,4,14,3,2,92.57247896
335,4,15,3,2,94.69105416
336,4,0,3,2,0
337,6,1,1,2,45.04873884
338,6,2,1,2,45.78100103
339,6,3,1,2,44.65371267
340,6,4,1,2,0.924541619
341,6,5,1,2,44.55887608
342,6,6,1,2,43.35721014
343,6,7,1,2,3.420166341
344,6,8,1,2,72.84831426
345,6,9,1,2,65.31185167
346,6,10,1,2,56.83280355
347,6,11,1,2,76.33726193
348,6,12,1,2,73.22050209
349,6,13,1,2,36.47724246
350,6,14,1,2,68.55764886
351,6,15,1,2,69.0890435
352,6,0,1,2,0
353,6,1,2,2,31.88044847
354,6,2,2,2,44.81754321
355,6,3,2,2,46.6498955
356,6,4,2,2,0.668792684
357,6,5,2,2,39.52986412
358,6,6,2,2,43.87183311
359,6,7,2,2,2.74612364
360,6,8,2,2,72.63770939
361,6,9,2,2,82.32885806
362,6,10,2,2,73.64322424
363,6,11,2,2,87.90201497
364,6,12,2,2,86.21979782
365,6,13,2,2,34.20844443
366,6,14,2,2,77.33294235
367,6,15,2,2,80.60055876
368,6,0,2,2,0
369,6,1,3,2,42.28229272
370,6,2,3,2,50.28665363
371,6,3,3,2,49.58296909
372,6,4,3,2,1.18600639
373,6,5,3,2,48.46327508
374,6,6,3,2,49.9274003
375,6,7,3,2,4.582095156
376,6,8,3,2,78.80108905
377,6,9,3,2,79.44483195
378,6,10,3,2,84.85609846
379,6,11,3,2,93.31083413
380,6,12,3,2,93.87454124
381,6,13,3,2,44.02752342
382,6,14,3,2,89.48065113
383,6,15,3,2,91.48509414
384,6,0,3,2,0
385,0,1,1,3,11.26422659
386,0,2,1,3,37.48204887
387,0,3,1,3,41.44106124
388,0,4,1,3,0
389,0,5,1,3,38.30431575
390,0,6,1,3,53.10400856
391,0,7,1,3,3.075984359
392,0,8,1,3,77.3614474
393,0,9,1,3,66.8623452
394,0,10,1,3,65.32713775
395,0,11,1,3,80.44006159
396,0,12,1,3,73.90288444
397,0,13,1,3,10.6093201
398,0,14,1,3,47.24014126
399,0,15,1,3,59.52653189
400,0,0,1,3,0
401,0,1,2,3,34.71645259
402,0,2,2,3,43.57302345
403,0,3,2,3,48.32439551
404,0,4,2,3,0.607063773
405,0,5,2,3,28.83783854
406,0,6,2,3,37.43255163
407,0,7,2,3,2.85991864
408,0,8,2,3,70.01345936
409,0,9,2,3,78.088776
410,0,10,2,3,70.19867654
411,0,11,2,3,81.98080261
412,0,12,2,3,85.25720997
413,0,13,2,3,39.12894222
414,0,14,2,3,76.74229373
415,0,15,2,3,84.97992801
416,0,0,2,3,0
417,0,1,3,3,33.61043599
418,0,2,3,3,49.6136763
419,0,3,3,3,47.45149232
420,0,4,3,3,0.928544459
421,0,5,3,3,31.04337853
422,0,6,3,3,43.13871983
423,0,7,3,3,0
424,0,8,3,3,81.91726557
425,0,9,3,3,84.29748871
426,0,10,3,3,86.21497352
427,0,11,3,3,92.93093214
428,0,12,3,3,98.03384571
429,0,13,3,3,43.93331318
430,0,14,3,3,94.93580173
431,0,15,3,3,96.14798667
432,0,0,3,3,0
433,2,1,1,3,7.372693174
434,2,2,1,3,9.714563227
435,2,3,1,3,9.546870881
436,2,4,1,3,1.022402294
437,2,5,1,3,12.592787
438,2,6,1,3,14.01241706
439,2,7,1,3,4.337310253
440,2,8,1,3,19.47378974
441,2,9,1,3,23.2960789
442,2,10,1,3,24.90011385
443,2,11,1,3,28.47849533
444,2,12,1,3,33.33065232
445,2,13,1,3,6.753074014
446,2,14,1,3,15.06136862
447,2,15,1,3,15.12671706
448,2,0,1,3,0
449,2,1,2,3,3.88663609
450,2,2,2,3,25.83457198
451,2,3,2,3,44.5879911
452,2,4,2,3,0
453,2,5,2,3,15.16664871
454,2,6,2,3,40.37403082
455,2,7,2,3,0
456,2,8,2,3,27.79577337
457,2,9,2,3,72.31351298
458,2,10,2,3,32.00160024
459,2,11,2,3,51.8134607
460,2,12,2,3,83.36436834
461,2,13,2,3,2.641901391
462,2,14,2,3,57.97752811
463,2,15,2,3,80.28994263
464,2,0,2,3,0
465,2,1,3,3,9.564949769
466,2,2,3,3,37.21381762
467,2,3,3,3,47.09764929
468,2,4,3,3,1.100030526
469,2,5,3,3,35.70389569
470,2,6,3,3,54.89240735
471,2,7,3,3,0
472,2,8,3,3,57.45048731
473,2,9,3,3,77.02732986
474,2,10,3,3,69.39855223
475,2,11,3,3,85.4419715
476,2,12,3,3,92.00324978
477,2,13,3,3,21.86178566
478,2,14,3,3,83.65433196
479,2,15,3,3,92.95670274
480,2,0,3,3,0
481,4,1,1,3,1.297818598
482,4,2,1,3,28.35051675
483,4,3,1,3,40.1812432
484,4,4,1,3,0
485,4,5,1,3,40.45135336
486,4,6,1,3,42.27311559
487,4,7,1,3,0.910655456
488,4,8,1,3,62.16368477
489,4,9,1,3,66.88608561
490,4,10,1,3,76.83418769
491,4,11,1,3,91.6524383
492,4,12,1,3,66.37274183
493,4,13,1,3,2.534585496
494,4,14,1,3,47.17441756
495,4,15,1,3,52.43589363
496,4,0,1,3,0
497,4,1,2,3,3.542495517
498,4,2,2,3,39.19686382
499,4,3,2,3,45.87563784
500,4,4,2,3,0
501,4,5,2,3,24.02819715
502,4,6,2,3,39.3913488
503,4,7,2,3,0
504,4,8,2,3,50.04747607
505,4,9,2,3,74.62438876
506,4,10,2,3,54.58472012
507,4,11,2,3,74.81544975
508,4,12,2,3,84.20189779
509,4,13,2,3,2.234092607
510,4,14,2,3,71.60789091
511,4,15,2,3,72.77189285
512,4,0,2,3,0
513,4,1,3,3,4.275083316
514,4,2,3,3,40.44190447
515,4,3,3,3,46.6599306
516,4,4,3,3,0
517,4,5,3,3,46.64994849
518,4,6,3,3,45.97105208
519,4,7,3,3,0
520,4,8,3,3,72.38342011
521,4,9,3,3,82.71053034
522,4,10,3,3,77.8707536
523,4,11,3,3,96.59121826
524,4,12,3,3,97.94800557
525,4,13,3,3,3.498335753
526,4,14,3,3,89.32288292
527,4,15,3,3,89.21674959
528,4,0,3,3,0
529,6,1,1,3,9.910073167
530,6,2,1,3,33.09515946
531,6,3,1,3,39.91592357
532,6,4,1,3,0.297246729
533,6,5,1,3,43.42467948
534,6,6,1,3,45.27500965
535,6,7,1,3,0.858974836
536,6,8,1,3,68.84924903
537,6,9,1,3,64.60847653
538,6,10,1,3,63.8547365
539,6,11,1,3,76.33612431
540,6,12,1,3,73.13965753
541,6,13,1,3,4.497312079
542,6,14,1,3,40.87667176
543,6,15,1,3,40.31664678
544,6,0,1,3,0
545,6,1,2,3,24.27358667
546,6,2,2,3,42.64405348
547,6,3,2,3,47.5989822
548,6,4,2,3,0.345789289
549,6,5,2,3,40.97949244
550,6,6,2,3,43.26194293
551,6,7,2,3,1.497954505
552,6,8,2,3,68.06627781
553,6,9,2,3,74.75498754
554,6,10,2,3,70.28309787
555,6,11,2,3,80.52782377
556,6,12,2,3,85.26909551
557,6,13,2,3,21.94834142
558,6,14,2,3,72.58738213
559,6,15,2,3,77.03264152
560,6,0,2,3,0
561,6,1,3,3,23.09132333
562,6,2,3,3,47.555818
563,6,3,3,3,46.76206263
564,6,4,3,3,0.605197064
565,6,5,3,3,47.14534203
566,6,6,3,3,45.98211557
567,6,7,3,3,0
568,6,8,3,3,79.73976585
569,6,9,3,3,80.78664078
570,6,10,3,3,84.69021766
571,6,11,3,3,91.05627032
572,6,12,3,3,98.17713445
573,6,13,3,3,23.84150703
574,6,14,3,3,86.41285544
575,6,15,3,3,87.55418753
576,6,0,3,3,0
577,0,1,1,4,5.328990286
578,0,2,1,4,35.45025708
579,0,3,1,4,41.3324865
580,0,4,1,4,0.843582648
581,0,5,1,4,51.8998046
582,0,6,1,4,57.85145251
583,0,7,1,4,5.746329101
584,0,8,1,4,79.76430493
585,0,9,1,4,71.75951053
586,0,10,1,4,66.51488049
587,0,11,1,4,73.25828596
588,0,12,1,4,76.19293385
589,0,13,1,4,17.91828542
590,0,14,1,4,57.18359642
591,0,15,1,4,68.68894553
592,0,0,1,4,0
593,0,1,2,4,25.1420837
594,0,2,2,4,40.99109313
595,0,3,2,4,45.96047749
596,0,4,2,4,1.429258981
597,0,5,2,4,39.81522
598,0,6,2,4,43.94267867
599,0,7,2,4,3.976960117
600,0,8,2,4,67.27749777
601,0,9,2,4,78.369266
602,0,10,2,4,47.69925782
603,0,11,2,4,57.79971875
604,0,12,2,4,65.34587527
605,0,13,2,4,38.45991818
606,0,14,2,4,78.01722823
607,0,15,2,4,79.09053669
608,0,0,2,4,0
609,0,1,3,4,30.8246927
610,0,2,3,4,53.49467932
611,0,3,3,4,53.92524684
612,0,4,3,4,2.85091101
613,0,5,3,4,53.40370338
614,0,6,3,4,54.61432374
615,0,7,3,4,9.491590168
616,0,8,3,4,85.17057946
617,0,9,3,4,81.4856934
618,0,10,3,4,85.59541842
619,0,11,3,4,90.35242497
620,0,12,3,4,88.9275364
621,0,13,3,4,50.81603251
622,0,14,3,4,93.50991268
623,0,15,3,4,96.92264627
624,0,0,3,4,0
625,2,1,1,4,6.575127297
626,2,2,1,4,8.742546332
627,2,3,1,4,9.935132826
628,2,4,1,4,1.705289038
629,2,5,1,4,12.29594301
630,2,6,1,4,16.85702349
631,2,7,1,4,3.595206135
632,2,8,1,4,19.90273024
633,2,9,1,4,25.2527032
634,2,10,1,4,16.1585109
635,2,11,1,4,20.64357371
636,2,12,1,4,24.16256349
637,2,13,1,4,7.938107708
638,2,14,1,4,13.6465536
639,2,15,1,4,14.36737015
640,2,0,1,4,0
641,2,1,2,4,3.956885702
642,2,2,2,4,22.516172
643,2,3,2,4,39.74593472
644,2,4,2,4,0
645,2,5,2,4,15.82179421
646,2,6,2,4,40.1396941
647,2,7,2,4,0.57693322
648,2,8,2,4,29.29795514
649,2,9,2,4,73.73993868
650,2,10,2,4,24.60602271
651,2,11,2,4,39.09372544
652,2,12,2,4,65.38933316
653,2,13,2,4,2.344713425
654,2,14,2,4,48.30710262
655,2,15,2,4,72.94185386
656,2,0,2,4,0
657,2,1,3,4,10.00188169
658,2,2,3,4,37.52076416
659,2,3,3,4,52.58811564
660,2,4,3,4,0.862838268
661,2,5,3,4,34.28507945
662,2,6,3,4,53.14523882
663,2,7,3,4,2.173414859
664,2,8,3,4,59.96800012
665,2,9,3,4,80.9780499
666,2,10,3,4,68.0065648
667,2,11,3,4,84.91024962
668,2,12,3,4,95.07020116
669,2,13,3,4,15.22347574
670,2,14,3,4,86.41541039
671,2,15,3,4,92.13068227
672,2,0,3,4,0
673,4,1,1,4,2.038853369
674,4,2,1,4,28.76096277
675,4,3,1,4,44.56045142
676,4,4,1,4,0.380918213
677,4,5,1,4,44.68712072
678,4,6,1,4,52.78848387
679,4,7,1,4,1.112658983
680,4,8,1,4,67.02083729
681,4,9,1,4,72.46627889
682,4,10,1,4,55.08984272
683,4,11,1,4,63.25759385
684,4,12,1,4,66.28326385
685,4,13,1,4,6.141106311
686,4,14,1,4,54.56358173
687,4,15,1,4,63.22469221
688,4,0,1,4,0
689,4,1,2,4,2.256359852
690,4,2,2,4,32.38635793
691,4,3,2,4,44.44197306
692,4,4,2,4,0
693,4,5,2,4,21.71222946
694,4,6,2,4,43.86426544
695,4,7,2,4,0
696,4,8,2,4,39.83155733
697,4,9,2,4,78.71189796
698,4,10,2,4,34.68494953
699,4,11,2,4,51.68395023
700,4,12,2,4,69.94718927
701,4,13,2,4,1.517636561
702,4,14,2,4,65.78374618
703,4,15,2,4,79.37053051
704,4,0,2,4,0
705,4,1,3,4,2.510510682
706,4,2,3,4,36.61548208
707,4,3,3,4,52.67302388
708,4,4,3,4,0
709,4,5,3,4,32.99753143
710,4,6,3,4,57.53990104
711,4,7,3,4,0.544984175
712,4,8,3,4,57.85208433
713,4,9,3,4,85.89473594
714,4,10,3,4,67.67136056
715,4,11,3,4,95.55515456
716,4,12,3,4,99.03446213
717,4,13,3,4,2.310618854
718,4,14,3,4,86.53541708
719,4,15,3,4,94.50096737
720,4,0,3,4,0
721,6,1,1,4,7.7649642
722,6,2,1,4,31.45776364
723,6,3,1,4,39.80414391
724,6,4,1,4,0.230274449
725,6,5,1,4,47.71300168
726,6,6,1,4,54.76985941
727,6,7,1,4,0.737631078
728,6,8,1,4,74.13888356
729,6,9,1,4,71.26504827
730,6,10,1,4,64.02888238
731,6,11,1,4,74.63930208
732,6,12,1,4,76.16070518
733,6,13,1,4,5.908085833
734,6,14,1,4,52.86647451
735,6,15,1,4,56.03413013
736,6,0,1,4,0
737,6,1,2,4,12.72121896
738,6,2,2,4,41.67771463
739,6,3,2,4,43.87448476
740,6,4,2,4,0.316193405
741,6,5,2,4,40.29418927
742,6,6,2,4,45.40015878
743,6,7,2,4,0.778234105
744,6,8,2,4,65.05218409
745,6,9,2,4,78.61961971
746,6,10,2,4,45.30738516
747,6,11,2,4,56.65401799
748,6,12,2,4,68.60611463
749,6,13,2,4,12.48635948
750,6,14,2,4,69.81626316
751,6,15,2,4,75.30179851
752,6,0,2,4,0
753,6,1,3,4,14.49254361
754,6,2,3,4,52.13571621
755,6,3,3,4,48.86581696
756,6,4,3,4,0.364667905
757,6,5,3,4,55.18037009
758,6,6,3,4,55.01223205
759,6,7,3,4,1.087256852
760,6,8,3,4,81.22830675
761,6,9,3,4,80.71099803
762,6,10,3,4,86.20017514
763,6,11,3,4,84.17796028
764,6,12,3,4,95.67591323
765,6,13,3,4,14.50083816
766,6,14,3,4,91.52862329
767,6,15,3,4,92.65898323
768,6,0,3,4,0
769,1,1,1,1,12.6512469
770,1,2,1,1,13.83708642
771,1,3,1,1,15.0343232
772,1,4,1,1,1.856863727
773,1,5,1,1,4.344676685
774,1,6,1,1,5.971176669
775,1,7,1,1,8.323184663
776,1,8,1,1,13.24692026
777,1,9,1,1,15.01178808
778,1,10,1,1,12.98584411
779,1,11,1,1,17.08756486
780,1,12,1,1,19.42152909
781,1,13,1,1,61.68885211
782,1,14,1,1,64.52902546
783,1,15,1,1,64.66756982
784,1,0,1,1,0
785,1,1,2,1,14.26895253
786,1,2,2,1,24.93013825
787,1,3,2,1,38.55067304
788,1,4,2,1,0
789,1,5,2,1,1.224185961
790,1,6,2,1,2.633257106
791,1,7,2,1,1.932595354
792,1,8,2,1,8.432863834
793,1,9,2,1,11.40684881
794,1,10,2,1,16.82928554
795,1,11,2,1,35.53815083
796,1,12,2,1,41.96438983
797,1,13,2,1,2.917168593
798,1,14,2,1,7.768371677
799,1,15,2,1,14.74148388
800,1,0,2,1,0
801,1,1,3,1,21.50977994
802,1,2,3,1,20.96272395
803,1,3,3,1,26.67806508
804,1,4,3,1,0
805,1,5,3,1,3.941726457
806,1,6,3,1,7.774794319
807,1,7,3,1,2.331533569
808,1,8,3,1,15.28777504
809,1,9,3,1,23.43579167
810,1,10,3,1,15.69796379
811,1,11,3,1,27.33482675
812,1,12,3,1,34.44632451
813,1,13,3,1,9.061926079
814,1,14,3,1,20.11332693
815,1,15,3,1,25.93974836
816,1,0,3,1,0
817,3,1,1,1,2.968869757
818,3,2,1,1,2.391870808
819,3,3,1,1,20.86747592
820,3,4,1,1,2.064063489
821,3,5,1,1,11.1309805
822,3,6,1,1,14.36693621
823,3,7,1,1,9.085602443
824,3,8,1,1,51.71538404
825,3,9,1,1,53.23936389
826,3,10,1,1,10.59565991
827,3,11,1,1,12.24156469
828,3,12,1,1,12.7214048
829,3,13,1,1,20.53476821
830,3,14,1,1,16.03639807
831,3,15,1,1,19.29401032
832,3,0,1,1,0
833,3,1,2,1,24.42152468
834,3,2,2,1,35.72058232
835,3,3,2,1,34.68866542
836,3,4,2,1,1.299881507
837,3,5,2,1,17.26980964
838,3,6,2,1,28.37187434
839,3,7,2,1,5.370036774
840,3,8,2,1,37.71186321
841,3,9,2,1,36.02889558
842,3,10,2,1,32.92776022
843,3,11,2,1,59.55262648
844,3,12,2,1,57.6053748
845,3,13,2,1,18.46342998
846,3,14,2,1,36.80966237
847,3,15,2,1,44.33084711
848,3,0,2,1,0
849,3,1,3,1,26.52646529
850,3,2,3,1,40.07198822
851,3,3,3,1,44.04700483
852,3,4,3,1,0.844427684
853,3,5,3,1,10.60791195
854,3,6,3,1,19.44976087
855,3,7,3,1,4.67315366
856,3,8,3,1,33.71090461
857,3,9,3,1,58.95423439
858,3,10,3,1,32.36907857
859,3,11,3,1,58.30938102
860,3,12,3,1,63.62909921
861,3,13,3,1,15.1458408
862,3,14,3,1,31.9937252
863,3,15,3,1,53.36463944
864,3,0,3,1,0
865,5,1,1,1,5.928429551
866,5,2,1,1,9.302544665
867,5,3,1,1,34.88077285
868,5,4,1,1,0.47110416
869,5,5,1,1,28.77482765
870,5,6,1,1,35.21497708
871,5,7,1,1,4.111488109
872,5,8,1,1,64.27233548
873,5,9,1,1,65.69456697
874,5,10,1,1,14.11480355
875,5,11,1,1,17.56349703
876,5,12,1,1,15.1215994
877,5,13,1,1,12.74466628
878,5,14,1,1,14.21418921
879,5,15,1,1,16.84841979
880,5,0,1,1,0
881,5,1,2,1,19.58685815
882,5,2,2,1,43.74297776
883,5,3,2,1,41.13226409
884,5,4,2,1,0.43718104
885,5,5,2,1,23.41191123
886,5,6,2,1,34.22871308
887,5,7,2,1,2.005732083
888,5,8,2,1,50.97511306
889,5,9,2,1,50.54514481
890,5,10,2,1,39.19022489
891,5,11,2,1,59.13712916
892,5,12,2,1,63.46127974
